loss,accuracy
1.9567245244979858,0.12903225421905518
0.6736083030700684,0.5483871102333069
2.83794903755188,0.0625
0.8761740922927856,0.625
0.7231671810150146,0.6875
1.9331822395324707,0.12903225421905518
1.0542539358139038,0.5
0.6954828500747681,0.71875
1.8167641162872314,0.06451612710952759
0.8863474130630493,0.4838709533214569
0.7277247309684753,0.6451612710952759
0.7165303230285645,0.6774193644523621
0.6178573966026306,0.7419354915618896
2.11965274810791,0.125
1.0271950960159302,0.4516128897666931
0.7914813160896301,0.6774193644523621
1.41386878490448,0.21875
0.93647301197052,0.5483871102333069
1.009626865386963,0.5
1.0940150022506714,0.35483869910240173
